experiment_id,model,feature_method,n_features,cv_f1_macro_mean,cv_f1_macro_std,cv_accuracy_mean,cv_accuracy_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std,cv_fit_time_mean,cv_score_time_mean,total_cv_time_seconds,random_state,cv_splits
E00,DummyClassifier,none,20531,0.10909090909090909,0.0,0.375,0.0,0.075,0.0,0.2,0.0,0.156331205368042,0.0027438640594482423,0.8343879579988425,42,5
E01,LogisticRegression,none,20531,0.9953879308199577,0.006526610157643771,0.9953125,0.00625,0.9935172798216276,0.009372037404741624,0.9974999999999999,0.0033333333333332936,0.3790714263916016,0.07092719078063965,2.290568500000518,42,5
E02,LogisticRegression,select_k_best_f_classif,50,0.9973561362849303,0.0032387183056358402,0.996875,0.0038273277230987156,0.9983673469387755,0.0019995834634964414,0.9964426877470356,0.004358592490779518,0.32534279823303225,0.054146337509155276,1.9380094580010336,42,5
E03,LogisticRegression,select_k_best_f_classif,100,0.9960548762620208,0.0032220643282324752,0.9953125,0.0038273277230987156,0.9975510204081633,0.0019995834634964414,0.9947035573122529,0.004326935077756218,0.3088499069213867,0.04886636734008789,1.8272994170001766,42,5
E04,LogisticRegression,select_k_best_f_classif,200,0.997397479954181,0.0031874230788106524,0.996875,0.0038273277230987156,0.9983673469387755,0.0019995834634964414,0.9965217391304348,0.004259982161362079,0.3096439838409424,0.04880766868591309,1.8307595000005676,42,5
E05,LogisticRegression,select_k_best_f_classif,500,0.9986573963078399,0.002685207384320298,0.9984375,0.003125,0.9991836734693876,0.001632653061224465,0.9981818181818183,0.0036363636363636155,0.31415376663208006,0.04853701591491699,1.851533124998241,42,5
E06,LinearSVC,select_k_best_f_classif,50,0.9986987399770906,0.0026025200458190236,0.9984375,0.003125,0.9991836734693876,0.0016326530612244651,0.9982608695652175,0.0034782608695652414,0.28982839584350584,0.06133666038513184,1.7933250410023902,42,5
E07,LinearSVC,select_k_best_f_classif,100,0.9986987399770906,0.0026025200458190236,0.9984375,0.003125,0.9991836734693876,0.0016326530612244651,0.9982608695652175,0.0034782608695652414,0.3227963924407959,0.04755444526672363,1.8899497499987774,42,5
E08,LinearSVC,select_k_best_f_classif,200,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.398402738571167,0.04703974723815918,2.265857042002608,42,5
E09,LinearSVC,select_k_best_f_classif,500,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1299249649047851,0.060418701171875,5.9895660409965785,42,5
E10,LogisticRegression,pca,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.39433894157409666,0.06355743408203125,2.3327148749995104,42,5
E11,LogisticRegression,pca,50,0.9986573963078399,0.002685207384320298,0.9984375,0.003125,0.9991836734693876,0.001632653061224465,0.9981818181818183,0.0036363636363636155,0.42810759544372556,0.06316237449645996,2.4980704590016103,42,5
E12,LogisticRegression,pca,100,0.9986573963078399,0.002685207384320298,0.9984375,0.003125,0.9991836734693876,0.001632653061224465,0.9981818181818183,0.0036363636363636155,0.4542858123779297,0.0649198055267334,2.6364752920017054,42,5
E13,LinearSVC,pca,20,0.9987278835386337,0.002544232922732359,0.9984375,0.003125,0.9983333333333334,0.003333333333333277,0.9991666666666668,0.0016666666666667052,0.4011205196380615,0.06051559448242187,2.3475670000007085,42,5
E14,LinearSVC,pca,50,0.9889248981038454,0.012215419884544523,0.9921875,0.00855816496101822,0.9860659340659341,0.014628581994924342,0.9931159420289856,0.008009623229104578,0.44058837890625,0.06237282752990723,2.5540200839968747,42,5
E15,LinearSVC,pca,100,0.9912217124006597,0.008226853527575925,0.99375,0.005846339666834283,0.9883516483516483,0.01075801164880912,0.994855072463768,0.0050212215054135055,0.4615039825439453,0.06412510871887207,2.6681490000009944,42,5
E16,RandomForestClassifier,select_k_best_f_classif,200,0.9960548762620208,0.0032220643282324752,0.9953125,0.0038273277230987156,0.9975510204081633,0.0019995834634964414,0.9947035573122529,0.004326935077756218,0.48287463188171387,0.07438054084777831,2.830478125000809,42,5
E17,PyTorchMLP,select_k_best_f_classif,200,0.9986987399770906,0.0026025200458190236,0.9984375,0.003125,0.9991836734693876,0.0016326530612244651,0.9982608695652175,0.0034782608695652414,0.7853013752013794,6.928299990249798e-05,5.955951042000379,42,5
